Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
00663L 國泰臺灣加權正2,TW00000663L3,42404264,國泰臺指 ETF傘型證券投資信託基金之臺灣加權指數單日正向 2倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/07/01,,"國內募集,投資國內",開放,國內指數-二倍ETF,ETF,
00664R 國泰臺灣加權反1,TW00000664R8,42404258,國泰臺指 ETF傘型證券投資信託基金之臺灣加權指數單日反向 1倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/07/01,,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,
00665L 富邦恒生國企正2,TW00000665L8,42404573,富邦恒生國企 ETF傘型證券投資信託基金之富邦恒生國企單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/07/21,,"國內募集,投資國內外",開放,其他市場二倍ETF,ETF,
00666R 富邦恒生國企反1,TW00000666R3,42404567,富邦恒生國企 ETF傘型證券投資信託基金之富邦恒生國企單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/07/21,,"國內募集,投資國內外",開放,其他市場反向ETF,ETF,
00667 元大韓國,TW0000066703,42441583,元大韓國KOSPI 200證券投資信託基金,NTD,元大證券投資信託,Current,2016/09/30,2019/01/04,"國內募集,投資國內外",開放,其他市場ETF,ETF,清算
00668 國泰美國道瓊,TW0000066802,42443225,國泰美國 ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金,NTD,國泰證券投資信託,Current,2016/10/03,,"國內募集,投資國內外",開放,美國ETF,ETF,
00668K 國泰美國道瓊+U,TW00000668K4,,國泰美國 ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金-加掛美元ETF受益憑證,USD,國泰證券投資信託,Current,2017/10/24,,"國內募集,投資國內外",開放,美國ETF,ETF,
00669R 國泰美國道瓊反1,TW00000669R7,42443203,國泰美國 ETF傘型證券投資信託基金之道瓊工業平均指數單日反向 1倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/10/03,,"國內募集,投資國內外",開放,美國反向ETF,ETF,
00670L 富邦NASDAQ正2,TW00000670L8,42441710,富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2017/02/14,,"國內募集,投資國內外",開放,美國二倍ETF,ETF,
00671R 富邦NASDAQ反1,TW00000671R3,42441704,富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2017/02/14,,"國內募集,投資國內外",開放,美國反向ETF,ETF,
00672L 元大S&P原油正2,TW00000672L4,42451147,元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日正向 2倍指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2016/09/30,,"國內募集,投資國內外",開放,,ETF,
00673R 元大S&P原油反1,TW00000673R9,42451152,元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向 1倍指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2016/09/30,,"國內募集,投資國內外",開放,,ETF,
00674R 元大S&P黃金反1,TW00000674R7,42451168,元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向 1倍指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2016/09/30,,"國內募集,投資國內外",開放,,ETF,
00675L 富邦臺灣加權正2,TW00000675L7,42450837,富邦臺灣加權 ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/09/23,,"國內募集,投資國內",開放,國內指數-二倍ETF,ETF,
00676R 富邦臺灣加權反1,TW00000676R2,42450843,富邦臺灣加權 ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/09/23,,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,
00677U 富邦VIX,TW00000677U4,42460390,富邦標普 500波動率短期期貨ER指數股票型期貨信託基金,NTD,富邦證券投資信託,Current,2016/12/22,,"國內募集,投資國內外",開放,,ETF,
00678 群益NBI生技,TW0000067800,42465424,群益那斯達克生技證券投資信託基金,NTD,群益證券投資信託,Current,2017/01/09,,"國內募集,投資國內外",開放,跨國-產業指數,ETF,
