Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
02/08/2017,40.5328,40.52,-0.03%,Discount
02/07/2017,40.4641,40.435,-0.07%,Discount
02/06/2017,40.5033,40.48,-0.06%,Discount
02/03/2017,40.6136,40.595,-0.05%,Discount
02/02/2017,40.6646,40.62,-0.11%,Discount
02/01/2017,40.6693,40.605,-0.16%,Discount
01/31/2017,40.4996,40.475,-0.06%,Discount
01/30/2017,40.6251,40.59,-0.09%,Discount
01/27/2017,40.8536,40.8,-0.13%,Discount
01/26/2017,40.8909,40.85,-0.10%,Discount
01/25/2017,40.7003,40.68,-0.05%,Discount
01/24/2017,40.7624,40.735,-0.07%,Discount
01/23/2017,40.6633,40.65,-0.03%,Discount
01/20/2017,40.7646,40.72,-0.11%,Discount
01/19/2017,40.7485,40.68,-0.17%,Discount
01/18/2017,40.5602,40.62,0.15%,Premium
01/17/2017,40.6996,40.665,-0.09%,Discount
01/13/2017,40.9494,40.91,-0.10%,Discount
01/12/2017,40.918,40.95,0.08%,Premium
01/11/2017,40.8657,40.805,-0.15%,Discount
01/10/2017,40.7057,40.685,-0.05%,Discount
01/09/2017,40.6431,40.655,0.03%,Premium
01/06/2017,40.9583,40.92,-0.09%,Discount
01/05/2017,40.827,40.84,0.03%,Premium
01/04/2017,41.0253,40.97,-0.14%,Discount
01/03/2017,40.9899,40.995,0.01%,Premium
12/30/2016,41.3816,41.42,0.09%,Premium
12/29/2016,41.4509,41.525,0.18%,Premium
12/28/2016,41.5308,41.54,0.02%,Premium
12/27/2016,41.431,41.45,0.05%,Premium
12/23/2016,41.2637,41.305,0.10%,Premium
12/22/2016,41.3185,41.29,-0.07%,Discount
12/21/2016,41.2456,41.3,0.13%,Premium
