Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
03/17/2017,29.0642,29.085,0.07%,Premium
03/16/2017,29.0686,29.075,0.02%,Premium
03/15/2017,29.108,29.105,-0.01%,Discount
03/14/2017,28.7869,28.795,0.03%,Premium
03/13/2017,28.874,28.885,0.04%,Premium
03/10/2017,28.7774,28.79,0.04%,Premium
03/09/2017,28.6739,28.685,0.04%,Premium
03/08/2017,28.721,28.72,0.00%,Discount
03/07/2017,28.6599,28.675,0.05%,Premium
03/06/2017,28.774,28.815,0.14%,Premium
03/03/2017,28.89,28.915,0.09%,Premium
03/02/2017,28.8858,28.92,0.12%,Premium
03/01/2017,29.0606,29.095,0.12%,Premium
02/28/2017,28.7781,28.83,0.18%,Premium
02/27/2017,29.0316,29.07,0.13%,Premium
02/24/2017,28.9364,28.945,0.03%,Premium
02/23/2017,28.7566,28.785,0.10%,Premium
02/22/2017,28.8426,28.875,0.11%,Premium
02/21/2017,28.8938,28.96,0.23%,Premium
02/17/2017,28.6379,28.66,0.08%,Premium
02/16/2017,28.5152,28.54,0.09%,Premium
02/15/2017,28.527,28.575,0.17%,Premium
02/14/2017,28.4082,28.435,0.09%,Premium
02/13/2017,28.309,28.35,0.15%,Premium
02/10/2017,28.2515,28.325,0.26%,Premium
02/09/2017,28.2024,28.245,0.15%,Premium
02/08/2017,27.9831,27.995,0.04%,Premium
02/07/2017,27.9247,27.93,0.02%,Premium
02/06/2017,27.9606,27.965,0.02%,Premium
02/03/2017,28.0592,28.075,0.06%,Premium
02/02/2017,27.7975,27.82,0.08%,Premium
02/01/2017,27.7689,27.78,0.04%,Premium
01/31/2017,27.7812,27.795,0.05%,Premium
01/30/2017,27.7878,27.81,0.08%,Premium
01/27/2017,27.9593,27.96,0.00%,Premium
01/26/2017,28.0686,28.075,0.02%,Premium
01/25/2017,28.153,28.185,0.11%,Premium
01/24/2017,28.0054,28.05,0.16%,Premium
01/23/2017,27.7488,27.755,0.02%,Premium
01/20/2017,27.7609,27.75,-0.04%,Discount
01/19/2017,27.582,27.595,0.05%,Premium
01/18/2017,27.7634,27.775,0.04%,Premium
01/17/2017,27.7074,27.695,-0.05%,Discount
01/13/2017,27.7973,27.8,0.01%,Premium
01/12/2017,27.7532,27.745,-0.03%,Discount
01/11/2017,27.7982,27.78,-0.07%,Discount
01/10/2017,27.724,27.73,0.02%,Premium
01/09/2017,27.6326,27.62,-0.05%,Discount
01/06/2017,27.6882,27.67,-0.07%,Discount
01/05/2017,27.6895,27.68,-0.03%,Discount
01/04/2017,27.7814,27.78,-0.01%,Discount
01/03/2017,27.4918,27.485,-0.03%,Discount
12/30/2016,27.3283,27.315,-0.05%,Discount
12/29/2016,27.4492,27.44,-0.03%,Discount
12/28/2016,27.385,27.38,-0.02%,Discount
12/27/2016,27.6977,27.7,0.01%,Premium
12/23/2016,27.5964,27.59,-0.02%,Discount
12/22/2016,28.0771,28.1,0.08%,Premium
12/21/2016,28.1396,28.18,0.14%,Premium
12/20/2016,28.2278,28.235,0.03%,Premium
